GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BusinessLogic,businessLogic,Airport,6,0,0,0,3,0,1,0,1,0
BusinessLogic,businessLogic,PassengerBusinessException,9,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,Extras,0,29,0,0,0,7,0,5,0,5
BusinessLogic,businessLogic,ExtrasBusinessException,9,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,APIClientImpl.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
BusinessLogic,businessLogic,BusinessLogicFactory,5,0,0,0,1,0,1,0,1,0
BusinessLogic,businessLogic,APIClientImpl,28,291,8,12,7,71,7,9,0,6
BusinessLogic,businessLogic,FlightBusinessException,9,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,FlightManager,37,68,0,0,9,21,3,7,3,7
BusinessLogic,businessLogic,Passenger,23,63,0,0,4,14,1,11,1,11
BusinessLogic,businessLogic,BookingManager,66,39,0,2,18,12,4,4,4,3
BusinessLogic,businessLogic,Plane,6,0,0,0,3,0,1,0,1,0
BusinessLogic,businessLogic,InvalidInputBusinessException,9,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,ExtrasManager,19,64,0,0,5,18,1,6,1,6
BusinessLogic,businessLogic,DiscountManagerImpl,40,329,5,9,8,61,7,6,2,4
BusinessLogic,businessLogic,BusinessLogicAPIImpl,42,0,0,0,12,0,10,0,10,0
BusinessLogic,businessLogic,BookingBusinessException,9,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,PlaneManager,40,27,0,0,11,8,3,3,3,3
BusinessLogic,businessLogic,AirportManagerImpl,40,64,8,8,8,18,8,5,0,5
BusinessLogic,businessLogic,UserManagerImpl,48,22,0,0,14,7,2,3,2,3
BusinessLogic,businessLogic,Flight,50,0,0,0,14,0,12,0,12,0
BusinessLogic,businessLogic,PassengerManager,194,248,32,32,43,59,25,17,1,9
BusinessLogic,businessLogic,DiscountNotAppliedException,0,4,0,0,0,2,0,1,0,1
BusinessLogic,businessLogic,StartSales,10,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,Booking,0,25,0,0,0,8,0,6,0,6
BusinessLogic,businessLogic,PlaneBusinessException,9,0,0,0,4,0,2,0,2,0
BusinessLogic,businessLogic,StartSalesBusinessException,9,0,0,0,4,0,2,0,2,0
